id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
18548543,Double twin private room with shared bathroom,125498412,Margarida,PORTO,Lordelo do Ouro e Massarelos,41.15731,-8.63495,Private room,35,1,33,2019-09-24,0.88,6,360
18562937,Le Chien Noir City Centre,128870292,HomePorto,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15582,-8.61684,Entire home/apt,65,3,79,2019-05-09,1.57,1,364
18564738,arcozelo porto,119666752,Georges,VILA NOVA DE GAIA,Arcozelo,41.06525,-8.6339,Entire home/apt,48,2,34,2017-10-09,0.72,1,312
18566546,Lindo Vale House,125584516,Lia,PORTO,Paranhos,41.16584,-8.59998,Entire home/apt,30,2,88,2018-03-25,1.78,1,5
18572523,"BO - BOLHÃO ""TOMATO"" FOR 2/3/4 GUESTS",127147042,Teresa,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14995,-8.60578,Entire home/apt,84,20,4,2021-05-31,0.94,24,130
18574397,Oporto Center Spot,128963393,Dulce,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14599,-8.60616,Entire home/apt,55,2,143,2020-02-03,2.90,2,264
18583123,Historic Oporto / Electric room,101319372,Jose,PORTO,Bonfim,41.1449,-8.59711,Private room,35,2,104,2019-05-31,2.08,4,217
18583479,Historic Oporto / Square room,101319372,Jose,PORTO,Bonfim,41.14424,-8.59593,Private room,35,2,135,2020-03-17,2.70,4,217
18583603,Historic Oporto / Sé room,101319372,Jose,PORTO,Bonfim,41.14417,-8.59642,Private room,35,2,104,2020-02-03,2.09,4,217
18583674,Historic Oporto / Bridge D. Luis room,101319372,Jose,PORTO,Bonfim,41.14355,-8.59594,Private room,30,2,105,2017-10-08,2.13,4,217
18595453,DOWNTOWN COZY  OPEN SPACE APARTMENT,76767096,Helena,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15002,-8.61371,Entire home/apt,45,2,81,2019-06-09,1.71,3,303
18604515,Casa do Oásis,129207190,Rui Manuel,VILA DO CONDE,Mindelo,41.3084,-8.72963,Entire home/apt,79,4,51,2017-10-13,1.04,1,233
18607430,Porto —Holiday/work,128530941,Helena,PORTO,Ramalde,41.18126,-8.64728,Private room,13,3,11,2021-06-26,0.23,3,260
18607563,​ For 4 or 5 - Wonderful Apartment downtown,8161650,Manuel,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14619,-8.61348,Entire home/apt,66,2,199,2020-03-08,4.00,2,222
